model,price,year,mileage,vol_engine,Power
superb,102231.9374201788,2016.9699872286078,126562.75734355045,1903.874840357599,178.0344827586207
t-cross,105382.33684210526,2021.3578947368421,7603.336842105263,1188.6736842105263,123.95263157894736
t-roc,128135.4,2021.4071428571428,9277.512857142858,1466.7714285714285,148.60285714285715
talisman,81517.44047619047,2017.4166666666667,104990.42063492064,1632.8174603174602,155.45238095238096
thalia,15056.25,2009.5,116041.0625,1345.4375,84.3125
tigra,10195.48275862069,2005.8275862068965,166407.5172413793,1516.344827586207,100.84482758620689
tiguan,95636.33644859813,2015.6345794392523,117105.95327102803,1815.5654205607477,158.39439252336447
tiguan-allspace,158529.7619047619,2019.7777777777778,58887.555555555555,1891.888888888889,175.0952380952381
tipo,54737.31020408163,2018.812244897959,62430.92857142857,1315.9204081632654,100.51020408163265
toledo,30694.54117647059,2012.7764705882353,165565.82352941178,1500.0235294117647,107.16470588235295
touareg,135561.82300884955,2012.5,172903.54424778762,3141.7743362831857,262.79646017699116
touran,50415.865758754866,2012.2801556420234,188041.51556420233,1704.570038910506,129.1887159533074
tourneo-connect,66425.2131147541,2015.5901639344263,143385.0163934426,1537.0819672131147,109.72131147540983
tourneo-courier,45938.53125,2016.78125,124903.15625,1423.875,89.21875
tourneo-custom,196987.671875,2020.40625,36622.125,2008.328125,165.984375
trafic,78703.9104477612,2014.7114427860697,184362.3184079602,1888.18407960199,124.94029850746269
transit,82004.76623376623,2014.3636363636363,185788.85714285713,2135.4675324675327,124.05194805194805
transit-connect,67495.77777777778,2016.5714285714287,130358.07936507936,1550.079365079365,110.11111111111111
transit-custom,133637.11290322582,2018.5806451612902,106579.53225806452,2025.532258064516,132.43548387096774
transporter,87358.47674418605,2013.0523255813953,236203.26744186046,2021.7732558139535,125.98837209302326
tt,54390.57547169811,2009.9622641509434,156453.7358490566,2035.0471698113208,195.35849056603774
tucson,89743.13232514178,2016.803402646503,87284.0708884688,1723.5879017013233,145.91398865784498
twingo,15432.456790123457,2011.8024691358025,114521.42592592593,1123.9012345679012,74.03086419753086
up,41111.929824561405,2017.2491228070176,66289.5754385965,995.5017543859649,68.27719298245614
v-klasa,313027.20634920633,2019.7037037037037,53570.04761904762,2010.148148148148,205.74074074074073
v40,62602.99408284024,2015.8757396449705,140342.70019723865,1867.1656804733727,140.5463510848126
v50,18065.06796116505,2007.7313915857605,246595.8932038835,1896.6407766990292,133.7378640776699
v60,105553.38738738738,2016.672072072072,131355.57117117118,1958.6756756756756,179.5099099099099
v70,30199.701754385966,2009.3567251461989,261687.22222222222,2175.93567251462,166.1169590643275
v90,173341.5207373272,2018.2672811059908,102871.64055299539,1969.7142857142858,217.86175115207374
vectra,13518.9889298893,2006.5313653136532,246317.73800738007,1976.4575645756458,146.68265682656826
venga,32144.923387096773,2012.6895161290322,122613.52822580645,1463.967741935484,102.50806451612904
verso,41975.15343915344,2012.6349206349207,165424.60317460317,1822.164021164021,132.68253968253967
viano,62384.59259259259,2008.9259259259259,278597.48148148146,2706.777777777778,190.62962962962962
